STAGE_NUMBER,AT_KM,CITY,COUNTRY,LATITUDE,LONGITUDE
1,77,Newbiggin,ENG,54.26929,-2.00449
2,68.5,Keighley,ENG,53.867,-1.911
3,108,Epping Forest,ENG,51.66,0.05
4,92,Cassel,FRA,50.8006,2.4883
5,97,Templeuve,FRA,50.5272,3.1758
6,119,Pinon,FRA,49.4883,3.4464
7,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
8,100,Dinozé,FRA,48.1411,6.4772
9,105,Linthal,FRA,47.9475,7.1311
10,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
11,89,Charcier,FRA,46.6281,5.7514
12,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
13,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
14,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
15,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
16,123.5,Saint-Girons,FRA,42.9858,1.1467
17,31,Saint-Béat,FRA,42.915,0.6933
18,61.5,Trébons,FRA,43.1022,0.1219
19,130.5,Tonneins,FRA,44.3906,0.3092
21,91,Paris Champs-Élysées,FRA,48.8567,2.3508
